,created_at,favorite_count,id_str,in_reply_to_user_id_str,is_retweet,retweet_count,source,text
4125,Fri Jan 08 03:30:54 +0000 2016,3374,685302633897312257,,False,1014,Twitter for Android,"""@pink_sprnva: @pastormike7 @thehill I agree with you on this. @realDonaldTrump won't be good. He will be great!"""
4126,Fri Jan 08 03:29:38 +0000 2016,3970,685302314740113408,,False,1679,Twitter for Android,"""@LiberatedCit: @JebBush Key State Florida Poll: Trump 32% Beats #Rubio-#Bush Combined https://t.co/MKHc5nB27i https://t.co/ubJvEeCsom"""
4127,Fri Jan 08 03:12:06 +0000 2016,4827,685297899887063040,,False,1127,Twitter for Android,"""@hofmannken: DonaldTrump, wish I could attend one of your rallies, none are close enough. Make America Great Again for my Kids.Thank you"
4128,Fri Jan 08 03:08:14 +0000 2016,4748,685296929656422401,,False,1188,Twitter for Android,"Great time in Burlington, Vermont. Crowd was amazing."
4129,Fri Jan 08 02:23:07 +0000 2016,10768,685285573943279616,,False,4424,Twitter for iPhone,We could only get a small fraction of this 25k crowd in. The movement to Make America Great Again is unbelievable! https://t.co/NHPdGm57YJ
4130,Thu Jan 07 21:11:05 +0000 2016,5636,685207046921269249,,False,1425,Twitter Web Client,"I'm leaving now for Burlington, Vermont. It will be wild!"
4131,Thu Jan 07 21:06:19 +0000 2016,5043,685205850558980097,,False,1402,Twitter Web Client,"Joy Behar, who was fired from her last show for lack of ratings, is even worse on @TheView. We love Barbara!"
4132,Thu Jan 07 21:06:00 +0000 2016,6351,685205769030078466,,False,1874,Twitter Web Client,"The @TheView @ABC, once great when headed by @BarbaraJWalters, is now in total freefall. Whoopi Goldberg is terrible. Very sad!"
4133,Thu Jan 07 18:08:59 +0000 2016,0,685161219624464384,,True,1150,Twitter Web Client,"RT @JoeNBC: Explosive Trump attack on HRC, Bill, Monica, Cosby, and Weiner. Trump camp just upped the ante on ""women's rights"" https://t.co…"
4134,Thu Jan 07 17:24:09 +0000 2016,4527,685149937856819200,,False,2303,Twitter Web Client,Hillary and her friends! https://t.co/q45tTapqMI
4135,Thu Jan 07 16:30:06 +0000 2016,4559,685136336920129536,,False,1359,Twitter Web Client,Weak &amp; ineffective @JebBush is doing ads where he shows his statement in the debate but not my response. False advertising!
4136,Thu Jan 07 16:26:14 +0000 2016,5227,685135364584017920,,False,1818,Twitter Web Client,I have an idea for @JebBush whose campaign is a disaster. Try using your last name and don't be ashamed of it!
4137,Thu Jan 07 16:14:38 +0000 2016,3716,685132443393867776,,False,1407,Twitter Web Client,.@SenTedCruz Ted--free legal advice on how to pre-empt the Dems on citizen issue. Go to court now &amp; seek Declaratory Judgment--you will win!
4138,Thu Jan 07 16:05:15 +0000 2016,4216,685130082646626305,,False,1367,Twitter Web Client,Massive crowd in VT tonight. Venue not big enough. Officials say NO to outside event and sound system. Arrive early!
4139,Thu Jan 07 13:24:31 +0000 2016,15064,685089631973601280,,False,12592,Twitter for Android,Man shot inside Paris police station. Just announced that terror threat is at highest level. Germany is a total mess-big crime. GET SMART!
4140,Thu Jan 07 13:17:40 +0000 2016,4691,685087910169808896,,False,1471,Twitter for Android,"I will be in beautiful Burlington, Vermont, tonight for a rally. Will be great fun. MAKE AMERICA GREAT AGAIN!"
4141,Thu Jan 07 11:28:51 +0000 2016,4607,685060524548222976,,False,1564,Twitter for Android,It was a very wise move that Ted Cruz renounced his Canadian citizenship 18 months ago. Senator John McCain is certainly no friend of Ted!
4142,Thu Jan 07 11:15:54 +0000 2016,5845,685057265989189632,,False,2026,Twitter for Android,".@Macys was one of the worst performing stocks on the S&amp;P last year, plunging 46%. Very disloyal company. Another win for Trump! Boycott."
4143,Thu Jan 07 11:06:43 +0000 2016,3278,685054952754941952,,False,1035,Twitter for Android,"The failing @UnionLeader newspaper in N.H. just sent The Trump Organization a letter asking that we take ads. How stupid, how desperate!"
4144,Wed Jan 06 23:15:24 +0000 2016,3335,684875944352432128,,False,1208,Twitter for iPhone,"Do you believe that @UnionLeader in NH was demanding ads? Look at enclosed letter from them, just received: https://t.co/NucdHBZAH9"
4145,Wed Jan 06 21:09:42 +0000 2016,2947,684844313528942599,,False,862,Twitter Web Client,I will be on @wolfblitzer for a @CNNSitRoom interview today. Please join us 5PM ET.
4146,Wed Jan 06 20:22:41 +0000 2016,4322,684832481414148096,,False,1489,Twitter for iPhone,"Huge crowd expected tomorrow night! VT Police say first come, first serve. Arrive early!"
4147,Wed Jan 06 19:22:27 +0000 2016,5736,684817323333693442,,False,2942,Twitter Web Client,Don’t like @SamuelLJackson’s golf swing.  Not athletic. I’ve won many club championships. Play him for charity!
4148,Wed Jan 06 19:22:16 +0000 2016,5261,684817275430539264,,False,2341,Twitter Web Client,I don’t cheat at golf but @SamuelLJackson cheats—with his game he has no choice—and stop doing commercials!
4149,Wed Jan 06 15:01:58 +0000 2016,7517,684751768522194944,,False,1732,Twitter for iPhone,"HAPPY BIRTHDAY to my son, @EricTrump! Very proud of you!
https://t.co/ZHMKIqnUwL https://t.co/IJzW2NDJyA"
4150,Wed Jan 06 14:25:28 +0000 2016,13312,684742583520722944,,False,7796,Twitter for Android,Germany is going through massive attacks to its people  by the migrants allowed to enter the country. New Years Eve was a disaster. THINK!
4151,Wed Jan 06 03:59:46 +0000 2016,6860,684585121039552512,,False,2517,Twitter for Android,"""@becker_berta: @longtalltexan20 Trump single handedly did what no other politician ever dared to do, attacked the media for all their lies"""
