datetime,state,country,latitude,longitude
10/10/2010 3:00,oh,us,41.5930556,-81.5269444
10/10/2010 8:30,sc,us,34.3769444,-82.6958333
10/10/2010 10:45,ma,us,42.525,-71.7602778
10/10/2010 12:00,ct,us,41.0263889,-73.6288889
10/10/2010 13:00,sc,us,32.8544444,-79.975
10/10/2010 16:30,va,us,38.7891667,-77.1875
10/10/2010 17:10,ct,us,41.1669444,-73.20527779999999
10/10/2010 18:30,or,us,45.4077778,-122.56916670000001
10/10/2010 20:00,tx,us,31.4636111,-100.4366667
10/10/2010 20:20,ct,us,41.8525,-72.6441667
10/10/2010 20:45,il,us,41.7886111,-89.6961111
10/10/2010 21:00,wa,us,47.9791667,-122.20083329999999
10/10/2010 21:00,az,us,35.8752778,-110.61972220000001
10/10/2010 21:30,ny,us,42.6525,-73.7566667
10/10/2010 22:30,ca,us,33.7738889,-117.94055559999998
10/10/2010 23:00,fl,us,25.7738889,-80.1938889
10/10/2010 23:30,ca,us,33.8352778,-117.9136111
10/10/2011 0:00,ny,us,42.7283333,-73.6922222
10/10/2011 1:00,nm,us,36.7280556,-108.21805559999999
10/10/2011 2:00,az,us,34.61,-112.315
10/10/2011 10:30,ny,us,42.0963889,-79.3758333
10/10/2011 14:30,ri,us,41.55,-71.4666667
10/10/2011 15:00,ct,us,41.35,-72.07888890000001
10/10/2011 19:00,va,us,37.6086111,-77.37361109999999
10/10/2011 20:00,ct,us,41.5622222,-72.6511111
10/10/2011 21:00,oh,us,41.4819444,-81.7983333
10/10/2011 21:00,pa,us,39.9625,-76.7280556
10/10/2011 21:55,ne,us,41.1238889,-100.765
10/10/2011 23:00,oh,us,39.5297222,-84.0866667
10/10/2012 10:15,ct,us,41.1669444,-73.20527779999999
10/10/2012 18:56,ca,us,32.7152778,-117.1563889
10/10/2012 19:09,mi,us,42.5802778,-83.0302778
10/10/2012 19:40,ny,us,43.0480556,-76.1477778
10/10/2012 19:45,ny,us,43.0480556,-76.1477778
10/10/2012 20:00,co,us,38.8338889,-104.8208333
10/10/2012 20:00,al,us,32.9975,-87.63
10/10/2012 20:15,ny,us,40.7141667,-74.0063889
10/10/2012 20:30,nm,us,32.3122222,-106.7777778
10/10/2012 20:30,il,us,37.7305556,-88.9330556
10/10/2012 20:30,ca,us,37.3394444,-121.8938889
10/10/2012 20:45,az,us,33.4483333,-112.07333329999999
10/10/2012 20:48,wa,us,46.6022222,-120.5047222
10/10/2012 21:00,tx,us,30.2669444,-97.7427778
10/10/2012 21:00,tn,us,36.3436111,-83.2841667
10/10/2012 21:00,wa,us,46.8219444,-123.095
10/10/2012 23:01,ny,us,41.1147222,-74.15
10/10/2012 23:20,ca,us,33.7397222,-116.41194440000001
10/10/2013 2:32,fl,us,28.0777778,-82.76388890000001
10/10/2013 4:00,oh,us,41.4488889,-82.7080556
10/10/2013 17:00,mo,us,38.6272222,-90.1977778
10/10/2013 19:00,oh,us,40.9780556,-81.7822222
10/10/2013 19:20,vt,us,44.4905556,-73.11138890000001
10/10/2013 19:20,la,us,29.9938889,-90.2416667
10/10/2013 20:00,oh,us,39.7463889,-84.2866667
10/10/2013 20:00,nh,us,42.7647222,-71.44027779999999
10/10/2013 20:30,mi,us,42.9275,-83.63
10/10/2013 20:30,mn,us,44.7791667,-93.3361111
10/10/2013 20:32,mi,us,42.4775,-83.0277778
10/10/2013 20:35,mi,us,42.3086111,-83.48222220000001
10/10/2013 21:17,wv,us,39.1611111,-80.3522222
10/10/2013 21:30,nh,us,42.7647222,-71.44027779999999
10/11/1973 16:45,fl,us,26.9338889,-80.0944444
10/11/1978 23:00,mi,us,42.5294444,-83.7802778
10/11/1987 21:30,mn,us,44.9133333,-93.5030556
10/11/1987 23:59,mo,us,38.3708333,-90.50027779999999
10/11/1989 21:00,il,us,41.2455556,-89.9247222
10/11/1989 21:00,il,us,41.2455556,-89.9247222
10/11/1992 10:00,nm,us,35.0844444,-106.65055559999999
10/11/1994 2:00,nj,us,39.7763889,-74.86277779999999
10/11/1994 4:00,ca,us,33.9533333,-117.39527779999999
10/11/1995 18:30,ny,us,40.7141667,-74.0063889
10/11/1995 20:00,wv,us,38.4191667,-82.4452778
10/11/1996 16:00,nd,us,46.8083333,-100.7833333
10/11/1996 22:00,va,us,36.6336111,-81.78388890000001
10/11/1998 2:15,ca,us,37.5422222,-122.515
10/11/1998 14:05,pr,us,18.4463889,-66.3880556
10/11/1998 14:30,tn,us,36.5452778,-82.66111109999999
10/11/1998 20:30,in,us,39.7944444,-87.39583329999999
10/11/1998 20:30,in,us,39.7944444,-87.39583329999999
10/11/1998 22:40,me,us,44.3875,-68.2044444
10/11/1998 22:45,ca,us,38.4088889,-121.37055559999999
10/11/1999 0:15,al,us,32.3666667,-86.3
10/11/1999 4:30,ca,us,34.0522222,-118.2427778
10/11/1999 7:40,mi,us,41.9438889,-85.6325
10/11/1999 9:10,or,us,45.2630556,-122.69138889999999
10/11/1999 20:15,ny,us,42.0386111,-78.34111109999999
10/11/1999 20:15,ny,us,42.0386111,-78.34111109999999
10/11/1999 20:15,ny,us,42.0386111,-78.34111109999999
10/11/1999 20:15,ny,us,42.0386111,-78.34111109999999
10/11/1999 20:35,mo,us,36.6230556,-93.1638889
10/11/1999 21:00,nv,us,40.9730556,-117.73472220000001
10/11/1999 21:10,or,us,42.1947222,-122.70833329999999
10/11/1999 21:30,ks,us,37.6866667,-96.9763889
10/11/1999 21:30,tx,us,30.3880556,-95.6961111
10/11/1999 21:45,ar,us,36.4011111,-93.73777779999999
10/11/1999 22:30,il,us,41.9316667,-87.9888889
10/11/2000 20:00,ny,us,43.9747222,-75.91111109999999
10/11/2000 22:00,ca,us,38.7138889,-121.46166670000001
10/11/2000 23:30,ca,us,33.9791667,-118.03194440000001
10/11/2001 1:00,wi,us,45.1244444,-92.6733333
10/11/2001 2:15,ak,us,64.8377778,-147.7163889
10/11/2001 5:15,co,us,39.7391667,-104.98416670000002
10/11/2001 8:15,ms,us,31.2516667,-89.8375
10/11/2001 20:35,ca,us,39.2191667,-121.06
10/11/2001 23:49,oh,us,40.7425,-84.1052778
10/11/2002 6:17,mo,us,37.2152778,-93.2980556
10/11/2002 13:25,nv,us,39.5297222,-119.81277779999999
10/11/2002 16:15,ma,us,42.1625,-71.04166670000001
10/11/2002 20:36,tx,us,32.7833333,-96.8
10/11/2003 0:00,ca,us,32.7152778,-117.1563889
10/11/2003 0:20,mn,us,43.6666667,-92.9744444
10/11/2003 1:29,ny,us,40.7141667,-74.0063889
10/11/2003 3:00,ca,us,39.3280556,-120.18222220000001
10/11/2003 11:32,mi,us,43.4197222,-85.8
10/11/2003 19:05,ca,us,38.7297222,-120.7975
10/11/2003 20:00,co,us,40.0991667,-104.93666670000002
10/11/2003 20:30,in,us,39.1652778,-86.52638890000001
10/11/2003 22:40,mo,us,39.0911111,-94.4152778
10/11/2004 1:00,hi,us,21.3069444,-157.8583333
10/11/2004 2:37,ca,us,34.0522222,-118.2427778
10/11/2004 3:40,or,us,44.9194444,-123.31583329999998
10/11/2004 4:15,nj,us,39.7327778,-75.1319444
10/11/2004 5:00,ca,us,37.3394444,-121.8938889
10/11/2004 11:00,ca,us,36.6777778,-121.65444440000002
10/11/2004 14:00,ca,us,35.1186111,-120.58972220000001
10/11/2004 18:00,ca,us,36.7477778,-119.77138889999999
10/11/2004 22:29,tx,us,27.5061111,-99.5072222
10/11/2004 22:30,wa,us,48.6969444,-122.90416670000002
10/11/2004 23:00,fl,us,26.6155556,-80.05722220000001
10/11/2004 23:15,ny,us,42.9638889,-78.7380556
10/11/2005 0:00,fl,us,28.1875,-82.7397222
10/11/2005 3:00,mn,us,44.8041667,-93.16666670000001
10/11/2005 16:36,ut,us,40.6808333,-112.26222220000001
10/11/2005 18:45,az,us,33.5805556,-112.23666670000001
10/11/2005 19:00,az,us,33.3702778,-112.58305559999998
10/11/2005 19:00,az,us,32.8794444,-111.75666670000001
10/11/2005 19:30,az,us,33.4147222,-111.9086111
10/11/2005 19:45,al,us,30.6941667,-88.0430556
